minute,rmssd,coverage,hf,lf
2023-12-02T04:45:00.000,38.545,0.994,523.665,1248.953
2023-12-02T04:50:00.000,54.975,0.868,1056.772,3594.34
2023-12-02T04:55:00.000,55.316,0.977,984.192,4056.437
2023-12-02T05:00:00.000,53.949,0.99,677.094,2249.428
2023-12-02T05:05:00.000,47.731,1.003,912.561,1395.101
2023-12-02T05:10:00.000,42.374,0.955,585.139,1132.337
2023-12-02T05:15:00.000,40.681,0.964,475.866,556.245
2023-12-02T05:20:00.000,51.091,0.973,867.271,1188.815
2023-12-02T05:25:00.000,49.308,0.974,697.15,871.15
2023-12-02T05:30:00.000,49.149,1.001,818.968,722.811
2023-12-02T05:35:00.000,46.384,0.916,840.22,3940.684
2023-12-02T05:40:00.000,61.937,0.94,1318.745,956.078
2023-12-02T05:45:00.000,60.357,0.995,1214.224,595.922
2023-12-02T05:50:00.000,56.39,0.966,1204.787,1191.274
2023-12-02T05:55:00.000,46.534,1.005,859.664,628.581
2023-12-02T06:00:00.000,33.73,0.895,411.021,1750.566
2023-12-02T06:05:00.000,50.272,0.862,572.839,1536.512
2023-12-02T06:10:00.000,45.667,0.886,527.315,1386.284
2023-12-02T06:15:00.000,41.819,0.945,794.721,955.458
2023-12-02T06:20:00.000,49.896,0.933,1148.161,1160.446
2023-12-02T06:25:00.000,56.216,0.913,1023.757,1669.717
2023-12-02T06:30:00.000,51.831,1.0,948.024,1093.538
2023-12-02T06:35:00.000,49.778,0.948,875.797,650.861
2023-12-02T06:40:00.000,54.552,0.899,783.649,821.541
2023-12-02T06:45:00.000,76.161,0.996,2229.167,405.58
2023-12-02T06:50:00.000,79.479,1.002,2160.089,326.595
2023-12-02T06:55:00.000,55.866,0.909,863.742,2305.293
2023-12-02T07:00:00.000,48.1,1.001,887.362,773.872
2023-12-02T07:05:00.000,51.446,0.925,924.91,1279.021
2023-12-02T07:10:00.000,62.181,0.8160000000000001,1247.665,1648.928
2023-12-02T07:15:00.000,66.316,0.974,925.181,2356.667
2023-12-02T07:20:00.000,57.012,0.898,797.729,1142.987
2023-12-02T07:30:00.000,49.93,0.989,761.228,1312.075
2023-12-03T04:00:00.000,47.584,0.767,758.633,1625.839
2023-12-03T04:05:00.000,65.238,0.804,930.754,1661.43
2023-12-03T04:10:00.000,73.459,0.984,1609.05,2730.494
2023-12-03T04:15:00.000,67.275,0.923,1274.545,1354.595
2023-12-03T04:20:00.000,63.815,0.993,1311.442,604.648
2023-12-03T04:25:00.000,60.387,1.003,978.835,585.554
2023-12-03T04:30:00.000,58.542,1.004,1173.892,602.542
2023-12-03T04:35:00.000,61.677,1.003,1150.485,860.103
2023-12-03T04:40:00.000,57.093,1.004,913.905,1281.287
2023-12-03T04:45:00.000,61.365,0.903,1168.533,870.533
2023-12-03T04:50:00.000,34.725,0.917,432.52,840.107
2023-12-03T04:55:00.000,27.517,0.897,333.936,1093.567
2023-12-03T05:00:00.000,41.352,0.958,450.642,1543.732
2023-12-03T05:05:00.000,44.045,0.921,659.004,1171.69
2023-12-03T05:10:00.000,48.612,1.003,916.894,2255.098
2023-12-03T05:15:00.000,46.03,1.002,788.267,1567.49
2023-12-03T05:20:00.000,37.483,0.995,368.685,690.838
2023-12-03T05:25:00.000,61.54,0.941,1358.697,1821.802
2023-12-03T05:30:00.000,60.829,0.997,1041.274,2338.248
2023-12-03T05:35:00.000,60.117,0.995,1125.136,1166.394
2023-12-03T05:40:00.000,58.704,1.003,1189.344,862.555
2023-12-03T05:45:00.000,63.21,1.005,1239.079,832.532
2023-12-03T05:50:00.000,64.398,1.004,1389.533,667.808
2023-12-03T05:55:00.000,59.362,0.878,930.211,835.143
2023-12-03T06:00:00.000,75.985,1.003,2379.684,1039.299
2023-12-03T06:05:00.000,78.622,1.005,2080.577,836.849
2023-12-03T06:10:00.000,66.591,1.002,1458.863,887.64
2023-12-03T06:15:00.000,73.531,1.002,1937.967,693.871
2023-12-03T06:20:00.000,73.525,0.733,616.471,1882.164
2023-12-03T06:30:00.000,64.883,1.002,1666.087,1276.449
2023-12-03T06:35:00.000,60.987,0.983,2071.48,1444.983
2023-12-03T06:40:00.000,70.744,0.865,1360.733,1112.431
2023-12-03T06:45:00.000,79.946,0.982,2592.717,834.413
2023-12-03T06:50:00.000,90.772,1.002,2374.667,1223.687
2023-12-03T06:55:00.000,64.858,0.944,1571.662,1915.977
2023-12-03T07:00:00.000,68.612,1.002,1675.466,899.657
2023-12-03T07:05:00.000,81.756,0.8240000000000001,2191.548,890.698
2023-12-03T07:10:00.000,67.41,0.903,1049.287,1743.653
2023-12-03T07:15:00.000,68.701,0.982,1350.532,845.109
2023-12-03T07:20:00.000,72.255,1.005,1535.297,950.222
2023-12-03T07:25:00.000,79.136,0.886,1822.471,3279.135
2023-12-03T07:30:00.000,70.748,0.856,1301.221,760.401
2023-12-03T07:35:00.000,66.693,0.945,1168.326,4421.4
2023-12-03T07:40:00.000,77.331,0.998,1678.091,1765.555
2023-12-03T08:05:00.000,85.626,0.915,2720.748,1307.158
2023-12-03T08:10:00.000,98.163,1.003,2600.241,2066.18
2023-12-03T08:15:00.000,66.466,0.926,1110.232,1659.734
2023-12-03T08:20:00.000,63.318,1.003,1204.561,1203.907
2023-12-03T08:25:00.000,74.071,1.004,1969.225,512.45
2023-12-03T08:30:00.000,80.623,0.995,2288.023,845.079
2023-12-03T08:35:00.000,74.248,0.808,1630.446,1825.769
2023-12-03T08:40:00.000,76.768,0.947,1899.182,2870.172
2023-12-03T08:45:00.000,74.604,0.756,1526.482,1491.91
2023-12-03T08:50:00.000,70.801,0.864,1416.161,2118.573
2023-12-03T13:10:00.000,54.277,0.711,671.91,2114.906
2023-12-03T13:15:00.000,50.259,0.841,929.645,1124.9
2023-12-03T13:20:00.000,53.158,0.957,965.311,1049.779
2023-12-03T13:25:00.000,53.6,0.958,1114.004,711.903
2023-12-03T13:30:00.000,47.747,0.737,549.508,1062.591
2023-12-03T13:35:00.000,44.748,0.834,330.456,405.086
2023-12-03T13:45:00.000,40.544,0.858,576.742,760.967
2023-12-03T13:50:00.000,43.62,0.772,366.236,666.347
2023-12-03T13:55:00.000,53.439,0.781,587.089,751.304
2023-12-03T14:00:00.000,56.74,1.002,767.631,2312.007
2023-12-03T14:05:00.000,40.567,0.963,414.845,1162.645
2023-12-03T14:10:00.000,48.092,0.969,1001.98,883.607
